ts_ms,seq,state,fsr_0,fsr_1,fsr_2,fsr_3,ir_0,ir_1,ir_2,ir_3,ir_4,ir_5,us_bottom,us_top,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,imu_temp_c,wall_ts
97,39,SNIFF,221.0,230.0,208.0,239.0,1,0,0,1,1,1,25.795211552733612,49.52162261685915,0.33116283431156196,9.977168816120315,-0.19269213035683116,0.026656744050316934,0.023290690289572705,0.009660309836983889,36.983514560522345,1787429377.4028242
100,40,SNIFF,221.0,230.0,207.0,241.0,0,1,0,0,0,1,22.619818688123395,43.497807035851636,0.2603362695204813,9.947396474750844,0.4560105172382796,0.031268700619041245,0.030934831658930427,0.021065595299092636,37.13617868059782,1787429377.4055898
102,41,SNIFF,222.0,229.0,206.0,241.0,1,1,0,0,1,1,24.07503550453835,58.62666163949878,0.25027365527362505,9.948601452646203,0.023608538026488615,0.02117824460267163,0.021469240941409336,0.0073429107019723616,37.20618345560654,1787429377.407873
105,42,SNIFF,222.0,232.0,201.0,243.0,0,0,1,1,1,0,33.34954670195008,47.984364649759115,0.2955744841033963,9.948836372050154,-0.08446410365540041,0.013139975441834742,0.01882081585237963,0.036358288739455076,37.83577073587351,1787429377.4139462
107,43,SNIFF,223.0,230.0,203.0,242.0,0,0,1,1,0,0,18.25213226917834,53.999436011657195,0.26782970059926064,9.931051996525435,0.23581923634534874,0.018116880980403666,0.02134286002780509,0.022226687736112236,36.93156496672582,1787429377.4142432
110,44,SNIFF,223.0,230.0,203.0,242.0,0,0,1,1,1,1,25.586319545701464,49.83210526081869,0.24140786727838584,9.92075536949671,-0.4366927950357896,-0.0029976814323715677,0.01646504004230563,0.014378559793735203,37.44898947572929,1787429377.4170134
112,45,SNIFF,225.0,228.0,202.0,244.0,0,1,0,1,0,1,27.91550215408185,40.786147580443284,0.22482701392322746,9.922389340368774,0.053340132317290456,0.027394927559378612,0.010141358397130856,0.008278351859189112,37.15491371015438,1787429377.4195979
115,46,SNIFF,224.0,229.0,201.0,244.0,0,0,1,1,0,1,31.4537148483428,38.71520943215566,0.2650866103146443,9.90580789198811,0.45606894782150553,0.02965842958000501,0.032446369565426576,0.02337748607105089,37.16605604071593,1787429377.422966
117,47,SNIFF,224.0,229.0,201.0,244.0,1,1,1,1,1,0,29.761157859534357,55.19581183050292,0.27093529675656414,9.992565436128972,0.24576835255976814,0.023495830007336592,0.006091716055124902,0.016721593722824366,37.26716825138661,1787429377.424405
120,48,SNIFF,222.0,233.0,198.0,244.0,1,1,1,0,0,1,25.992320587294614,52.44821706128761,0.24918282541994288,9.87511919529428,-0.07133159161099517,0.030699371466126647,0.012153660264258563,0.039423164704015176,37.148833585731836,1787429377.428135
122,49,SNIFF,221.0,235.0,198.0,244.0,1,1,0,1,1,0,20.332631629612507,52.66287625629863,0.21904416416495143,9.93251528064951,-0.16103525827548468,0.0049252491932174295,0.026387917673455448,0.011217756797382843,36.91914618038185,1787429377.430706
125,50,SNIFF,222.0,234.0,197.0,245.0,1,1,1,1,1,0,26.52305675164618,54.942518791257086,0.2895109004633012,9.978525119227994,0.11413565478391369,0.02103913815439453,0.02518016524197354,0.018723716017125722,37.334015848440444,1787429377.4355404
127,51,SNIFF,221.0,236.0,198.0,243.0,1,1,0,0,1,1,24.652672129437626,53.71821179289488,0.23376755105745106,9.853207948004597,-0.17670949068979389,0.006518959801057243,0.017251144594415797,0.01399090635237809,36.76395798710211,1787429377.4355533
130,52,SNIFF,220.0,235.0,199.0,244.0,1,1,1,1,0,1,29.222714556970004,54.06440821215381,0.18764540769792304,9.913997268431634,-0.017475436652550663,0.013736972357143235,0.023612262041184405,0.00817318541168249,37.0924674846194,1787429377.4385471
132,53,SNIFF,222.0,233.0,200.0,243.0,0,0,1,1,0,0,26.473391653552817,52.6683609091714,0.17848087052756603,9.979817716467803,-0.28203840351905674,0.026961646944754954,0.013739925419726422,0.01635322046001325,36.98560748954196,1787429377.4406776
135,54,SNIFF,222.0,235.0,199.0,242.0,0,1,0,1,0,0,23.653659659716396,58.61180093987264,0.13500582362483537,9.797933566289242,-0.1394853681490119,0.012065300862463808,0.022987572378786417,0.037889549013667485,36.920378068040236,1787429377.4432225
137,55,SNIFF,220.0,237.0,200.0,241.0,1,1,1,0,0,0,29.894654045376363,57.45175998088287,0.1795777780568447,9.878779390947194,-0.06146422653456815,0.023250709543626076,0.0267796350169529,0.01593334654036511,36.92883720577469,1787429377.4470203
140,56,SNIFF,217.0,238.0,200.0,243.0,1,0,1,1,0,0,27.408137887211694,44.06823710339236,0.12238915166419682,9.850614289329677,0.17177904351306975,0.010417700428898965,0.020964618053065882,0.006015109015464413,37.55426824845354,1787429377.4483151
142,57,SNIFF,218.0,239.0,198.0,243.0,1,1,0,1,0,0,25.64481420915,50.022777509728755,0.12189453702418473,9.90831155709305,0.08708781575039692,0.021649632896135283,0.00938223674345644,0.009137468767168526,37.294617439605496,1787429377.4507577
145,58,SNIFF,217.0,240.0,199.0,242.0,1,0,1,1,0,1,16.196511485839654,41.49389497904258,0.16750696386181427,9.841481423377074,0.3524458837711689,0.011179020559593456,0.010086287801351549,0.024802425055702425,37.691484818415184,1787429377.4534492
147,59,SNIFF,220.0,240.0,198.0,240.0,1,1,1,1,0,1,27.46483839113575,52.50483175245209,0.0630064594426811,9.773322062133229,0.10756059190333458,-0.012013721514875886,-0.003631407607543688,0.005474607928587199,37.13676045908377,1787429377.4582267
150,60,SNIFF,220.0,240.0,197.0,242.0,1,1,0,1,0,0,31.9396751469354,43.65031369497417,0.13682919378459688,9.87919550806589,0.7309219824149173,0.027907722277479948,-0.003977122538575297,-0.0009624548419218289,37.057532587117464,1787429377.4594924
152,61,SNIFF,217.0,243.0,196.0,242.0,1,0,1,1,1,1,21.21856410280759,57.949734076289786,0.0822225543057843,9.790299462467342,-0.6931587966338119,-0.009119098161819925,-0.01344519219314521,-0.017836843172857338,37.34574284681487,1787429377.462478
155,62,SNIFF,216.0,244.0,197.0,241.0,1,1,1,1,1,1,28.472762858661206,59.31128072073493,0.03184709620412851,9.804793762437187,0.22751474666941285,-0.005365233413339575,0.0028258783045005563,0.008265395252624423,37.11757012430861,1787429377.4637737
157,63,SNIFF,214.0,244.0,196.0,244.0,1,1,0,1,1,0,32.95859216772405,47.10660512778247,0.10709329408131187,9.844918312106756,-0.10160941052803396,5.589058735032317e-05,0.014085684927371934,0.0059553552702840944,37.03278857703084,1787429377.4659026
160,64,SNIFF,214.0,244.0,195.0,245.0,1,1,1,0,1,1,27.45479260137185,48.69182523137347,0.10153657632286044,9.838595580629663,-0.07308116593941456,0.005474371708221259,-0.0007566759441129433,0.021441521638436215,36.934720779336295,1787429377.4683197
162,65,SNIFF,212.0,246.0,196.0,244.0,1,0,1,1,1,0,21.37014147106631,44.20789283114742,0.03222954016829847,9.701976617532798,0.1969330915863091,0.00931217505691436,-0.014898849299610332,-0.005756824950972339,36.7038582980031,1787429377.4709146
165,66,SNIFF,212.0,250.0,192.0,245.0,1,1,1,1,1,0,27.504177478490448,41.08966712523538,0.021431229979620037,9.740792313075923,0.23898003372134768,0.00419022873109053,0.016897882936699797,-0.0034937948973541035,37.393493254585,1787429377.4753523
167,67,SNIFF,213.0,247.0,192.0,246.0,1,1,1,0,1,0,28.631552041732718,66.26447316330996,-0.04993634039570452,9.784143132144203,0.19403776371831105,0.0004094823789806382,0.014884714633946217,0.0009752943427751254,37.661968884418016,1787429377.4785852
170,68,SNIFF,213.0,246.0,193.0,246.0,1,0,1,1,0,0,23.971578878287033,47.53796015992934,0.018432231356199046,9.713543146658335,0.21604478479571607,0.01735576056382981,0.002887989108485395,-0.005535908551322358,37.27538955713908,1787429377.4786003
172,69,SNIFF,210.0,247.0,195.0,247.0,1,1,1,1,1,1,26.70904546779542,51.747388501084274,-0.02748983107416471,9.75426937742759,-0.3946090096294349,-0.005273952967048517,-0.0013856342390077365,0.0005297736088911466,37.218836611646466,1787429377.4818504
175,70,SNIFF,212.0,245.0,195.0,245.0,1,1,1,1,1,0,25.27000062939895,53.453279059999375,-0.0029097176287802423,9.72084297545829,0.24248265139184122,-0.02320674656907817,0.0141286102054805,0.0015319590545966894,37.33893412232568,1787429377.4841201
177,71,SNIFF,212.0,246.0,195.0,245.0,1,1,1,1,0,1,29.981961131781276,55.82683404093747,0.005803082323577596,9.675512275496514,0.48614060171883905,0.00866661356565784,-0.013534049001207808,0.017280275164007868,37.01771127537255,1787429377.4865212
180,72,SNIFF,212.0,246.0,195.0,245.0,1,1,1,1,0,0,14.17752470261972,42.516095181834984,-0.06709919792699102,9.69768761056815,-0.4158040623677453,-0.003340672149286548,-0.006544646097011981,-0.010110035310043133,37.25800807929671,1787429377.4904027
182,73,SNIFF,215.0,247.0,193.0,243.0,0,1,1,0,1,1,26.36297025500869,60.71191036534836,-0.05434624846380931,9.719450802541518,-0.035505516792299005,0.007910984656476848,-0.007902926768391943,0.01623506307975962,37.20805130040009,1787429377.491587
185,74,SNIFF,216.0,248.0,193.0,242.0,1,0,0,0,0,0,20.171448348321775,47.65593438440483,-0.043577481978578164,9.721826512871788,-0.6179816941804699,-0.008824027281491887,-0.00854441264447247,0.014043564824107995,37.03810273622145,1787429377.4946632
187,75,SNIFF,217.0,245.0,193.0,243.0,1,1,1,1,0,1,21.399658023390543,54.271862137946314,-0.10306390986143331,9.678884396906604,-0.2538526266197486,-0.012681827054549163,-0.020185565992129336,-0.005917704997480239,37.299743888213946,1787429377.496577
190,76,SNIFF,213.0,245.0,197.0,243.0,1,0,0,0,1,1,31.248101048879654,48.108953660688655,-0.08602474725975093,9.742331531246226,-0.545305573563613,-0.025642386236272022,-0.006716208507500289,-0.015967887037336852,37.41577580780595,1787429377.499076
192,77,SNIFF,216.0,245.0,193.0,244.0,1,1,1,1,1,1,19.250609222346593,44.41841187637969,-0.09119228827263938,9.745701875904352,-0.2917415472467739,0.011260676173694749,-0.01842115521957532,-0.001334648416148095,37.152668235069626,1787429377.5015996
195,78,SNIFF,213.0,244.0,195.0,246.0,1,1,0,1,0,1,29.08613303904768,54.85472786594147,-0.19063356562561656,9.644143024522064,-0.048577167323266154,-0.027269710467197138,-0.019794285662376412,-0.0207966794337769,37.073037367205714,1787429377.5041761
197,79,SNIFF,212.0,245.0,197.0,244.0,1,0,1,1,0,0,30.115123678982037,36.71487577374198,-0.14791348332345947,9.69795828494004,0.05599335247347714,-0.02602024029708825,-0.024108140486343594,-0.011190011741922213,36.875817296338376,1787429377.5075283
200,80,SNIFF,209.0,249.0,196.0,244.0,1,1,1,1,1,1,26.954403163713778,59.46660922959131,-0.22919338198276348,9.649387439045979,-0.17095024727934902,-0.011059376374081335,-0.0103137021642324,-0.011630589890782247,37.47162421917346,1787429377.5111601
202,81,SNIFF,210.0,249.0,196.0,244.0,1,0,1,0,0,0,18.892053442695698,51.94407514513988,-0.1708881380610854,9.673202676245827,0.0747326573045484,-0.019392016754422252,-0.007290007730672878,0.01653114501466694,37.42641045768284,1787429377.516047
205,82,SNIFF,205.0,251.0,196.0,245.0,0,0,1,1,1,1,29.895276286869233,50.049691459747564,-0.2426931696380673,9.651809819161528,0.04017354475030224,-0.013252639632411571,-0.0052381739032118044,-0.03373552866553996,36.90157883290541,1787429377.5160728
207,83,SNIFF,205.0,251.0,198.0,244.0,0,1,1,1,1,1,27.55389680340616,39.4411057538272,-0.23529068204095402,9.698718492929345,0.20674130461515114,-0.01971991795373244,-0.018228082338145962,-0.031535389044355294,37.438277928058284,1787429377.5203876
210,84,SNIFF,204.0,251.0,198.0,245.0,1,0,1,1,1,0,29.954127451405853,52.18715022795682,-0.2417417315976626,9.57802818865041,0.07736311963266387,-0.012065759226404047,-0.018840160087061207,-0.032716474866470245,37.072099321822506,1787429377.5222514
212,85,SNIFF,205.0,250.0,198.0,245.0,0,0,1,0,0,0,24.136927340567688,64.2476393001586,-0.21791422364641577,9.597123675021287,-0.39798610541924956,-0.01971579833686131,-0.026887623104214265,-0.010294903240638224,37.24736522335761,1787429377.5247877
215,86,SNIFF,207.0,248.0,198.0,245.0,1,1,1,0,0,0,23.66527857277527,46.829443213306845,-0.26406192112414184,9.548234114184979,0.22403213971935151,-0.018020055657227096,-0.02701521007381974,-0.015622404457161187,37.42547095232849,1787429377.5273042
217,87,SNIFF,208.0,247.0,197.0,246.0,1,1,0,1,1,0,20.526662809795532,48.862666930764334,-0.26197390543405347,9.636153347372346,-0.0462545855840128,-0.03153338960411437,-0.02227870966932257,-0.007967361707845778,37.334245602322746,1787429377.5293705
220,88,SNIFF,207.0,247.0,199.0,246.0,1,1,1,1,1,0,32.83977581604829,63.605865223395526,-0.26333153309445845,9.620877588178336,-0.18842071977223182,-0.02178013344971141,-0.005131830410682893,-0.00983578303005799,36.98962254542032,1787429377.5317235
222,89,SNIFF,207.0,245.0,201.0,245.0,1,1,1,0,1,1,20.612789804881736,51.26400126634772,-0.21224173341683997,9.673013725201445,-0.3916669274917645,0.003876879924247855,-0.0019890308489993753,-0.010214878949667413,37.33755222631998,1787429377.5340889
225,90,SNIFF,209.0,247.0,197.0,245.0,1,1,1,1,1,0,24.690778278979906,49.111565572713474,-0.30254810469789745,9.63899040589935,0.08960275733734034,-0.019890855466753822,-0.035404828172298494,-0.02014019071902376,37.218470807650895,1787429377.5365875
227,91,SNIFF,206.0,248.0,198.0,246.0,0,0,1,1,1,1,28.657414696959727,55.59583305794672,-0.32184103865649627,9.555962086408355,0.08440795392740877,-0.017481315606959487,-0.01570837762375501,-0.022031417807398784,37.024071514526504,1787429377.539711
230,92,SNIFF,207.0,249.0,200.0,243.0,1,1,1,0,1,0,26.87833970871978,48.44776458988562,-0.3145721654457682,9.61618869905892,-0.3520250840363857,-0.01578676160556572,-0.014146308117681083,-0.019053295492522732,36.93794065004691,1787429377.541573
232,93,SNIFF,204.0,250.0,199.0,244.0,1,1,1,0,0,1,25.325392986398192,56.26246038632297,-0.3261321174642422,9.633607015963289,-0.10362381718546329,-0.011956168642609025,-0.013926031120093305,-0.025596648755319494,37.25797709518368,1787429377.544175
235,94,SNIFF,204.0,250.0,200.0,243.0,1,1,0,1,0,0,28.91931515606212,60.85348725249662,-0.3183024088153313,9.593009891325108,-0.2070114225384047,-0.0316857964393086,-0.03038686909332573,-0.03802609474647903,36.79842138983907,1787429377.5468142
237,95,SNIFF,206.0,249.0,202.0,241.0,0,1,0,1,0,1,19.795922350607782,52.718112537873026,-0.3148920256712832,9.586650942828962,-0.37358118502787246,-0.04100285394979136,-0.02210675886504332,-0.025258562867107603,37.32382100369297,1787429377.5489492
240,96,SNIFF,204.0,250.0,202.0,241.0,1,0,0,1,0,1,23.5358038977755,56.152088205546534,-0.3622165202351301,9.635024434472884,0.1448227603284087,-0.04901580606754978,-0.007941150225477943,-0.05032053291410666,37.18897958019154,1787429377.5511994
242,97,SNIFF,203.0,250.0,201.0,244.0,0,1,1,0,0,1,25.866821041932248,43.02839356171947,-0.37918136905942096,9.601588592305271,-0.298927938887088,-0.0065370270698809005,-0.032973117935738816,-0.003429835707624465,37.12406470583037,1787429377.5535657
245,98,SNIFF,202.0,251.0,201.0,244.0,0,1,1,1,1,0,29.63225137407194,42.78382048459382,-0.31176404753815823,9.645605943078127,-0.5870733564854228,-0.02384469901017163,-0.01515204137438729,-0.027550356802932476,37.05312244852174,1787429377.556079
247,99,SNIFF,202.0,251.0,201.0,244.0,1,0,1,1,0,0,18.42731535504758,51.303638949371745,-0.35890085110428455,9.604874540826417,-0.008942023131993153,-0.00257704128955687,-0.03294647019947741,-0.01184433918871183,37.04280467841373,1787429377.5597935
250,100,SNIFF,202.0,252.0,201.0,243.0,1,1,1,1,1,1,27.21534970255025,49.45075988349075,-0.41520368696787213,9.6064092789148,0.025462188557077943,-0.013796733260379253,-0.022569761816858637,-0.019528328814008344,36.91904169047794,1787429377.567766
252,101,SNIFF,204.0,251.0,198.0,244.0,1,0,1,1,0,1,25.887667699583872,46.03819930386807,-0.39179886065469305,9.685666719065907,0.15297336800979688,-0.01995243250157875,-0.003948283289110493,-0.01825749350703188,36.93330513625316,1787429377.5677812
255,102,SNIFF,203.0,254.0,195.0,246.0,1,1,0,1,1,0,24.14977713470168,55.97932930699042,-0.3754304449746693,9.578866681961998,0.1483462255574173,-0.025736489172999474,-0.02062986922576012,-0.014398985451421044,36.92417014973029,1787429377.5685484
257,103,SNIFF,201.0,255.0,195.0,247.0,0,1,1,1,1,1,24.02856092441776,39.13872007347911,-0.40646076305901385,9.540913313056974,0.29840740688690853,0.005762564730958122,-0.019147308034725023,-0.016980738143863097,37.13819552696075,1787429377.5708156
260,104,SNIFF,200.0,256.0,195.0,247.0,1,1,1,0,0,0,25.862100539861466,50.322515377943006,-0.40055050677780185,9.548883100030729,-0.6786695743314499,-0.023596459012087494,-0.020415873081491148,-0.03384214036851139,37.4044814450721,1787429377.5731735
262,105,SNIFF,202.0,256.0,194.0,246.0,0,1,1,1,0,1,29.483291081466554,45.17284021865112,-0.368454461646714,9.64202872091814,-0.02930859007152927,-0.011390053215639389,-0.018631767389536806,-0.011730805557796943,37.144064633773425,1787429377.5760226
265,106,SNIFF,201.0,259.0,193.0,245.0,1,1,1,1,1,0,26.25079321294686,50.6452050803218,-0.36963979316012807,9.634973123505887,0.2077560280154495,-0.01779988553731373,-0.014891832354744807,-0.02237776433727973,37.19439644302086,1787429377.5783556
267,107,SNIFF,200.0,262.0,191.0,245.0,1,0,1,1,1,1,26.995735641586634,55.07782437384638,-0.3460064255978224,9.72397579798073,-0.1963690072285181,-0.014703668591138218,-0.02593261826326851,-0.02145980816577162,37.05610369080429,1787429377.5826805
270,108,SNIFF,200.0,261.0,193.0,244.0,1,1,0,1,1,0,27.330129252390563,45.14327762541603,-0.3725303187311595,9.648459248422041,-0.3460220112672748,-0.030051776608901737,-0.01705308067565564,-0.013286460900472611,37.46023166973041,1787429377.5844235
272,109,SNIFF,199.0,259.0,193.0,247.0,1,1,1,1,1,0,27.340169470149654,50.31018992857169,-0.43502273113845785,9.570219031663163,-0.3515401960424616,-0.032991908272419726,-0.025212606436936253,-0.03438211294927665,36.82750304947504,1787429377.586118
275,110,SNIFF,198.0,258.0,194.0,248.0,1,1,1,0,0,1,26.692028558608904,38.862130597313254,-0.3355581313225185,9.63900678776162,0.13315443400041688,-0.02886503814359575,-0.029545752177484837,-0.019186248273205166,37.218160004722016,1787429377.5883074
277,111,SNIFF,199.0,259.0,193.0,247.0,0,0,1,1,1,1,22.534335445362245,50.08338925599507,-0.3279877264283343,9.617186302745976,0.14904575601683628,-0.0076576281792805,-0.0045366169342534995,0.0003297274763579931,37.21719869614953,1787429377.590731
280,112,SNIFF,198.0,258.0,194.0,248.0,1,1,0,0,1,1,22.306080880266784,43.73633557118815,-0.282736262078126,9.652023423855395,0.05047356767474212,-0.027463792175837845,-0.02955725329252834,-0.0008598844194312553,36.92126550312677,1787429377.5931642
